166 346 406 208 329 109 345 | 32 303 156 275 377 274 11 | 88 214 35 164 125 373 90 | 178 357 97 61 383 82 253 | 395 140 332 384 142 227 386 | 409 201 215 318 363 51 15 
372 308 402 322 326 341 299 | 306 416 77 2 300 10 13 | 34 415 79 312 106 187 328 | 124 358 172 277 41 216 260 | 198 252 230 126 283 54 269 | 233 209 31 297 196 62 27 
330 294 12 120 136 351 376 | 114 331 243 192 338 186 107 | 153 169 150 379 251 315 374 | 40 50 135 111 349 265 36 | 325 244 333 206 394 80 381 | 267 23 159 56 207 281 122 
404 375 347 24 204 81 119 | 67 239 407 102 222 105 354 | 4 413 146 235 309 305 43 | 340 378 337 199 314 129 83 | 118 255 123 403 301 89 16 | 371 5 245 356 350 234 229 
365 87 14 370 92 147 167 | 190 398 261 400 362 321 117 | 26 74 110 78 335 148 168 | 369 240 408 282 401 183 72 | 128 348 399 63 173 46 55 | 45 342 94 127 359 64 380 
19 52 8 319 39 30 152 | 291 389 273 368 49 280 116 | 257 238 171 247 288 145 343 | 131 197 22 73 211 181 285 | 414 231 1 295 6 339 68 | 411 71 57 290 48 194 221 
276 99 184 262 17 286 98 | 193 302 7 95 185 205 219 | 133 287 28 336 33 121 175 | 9 75 366 226 392 310 268 | 304 154 353 228 292 298 143 | 100 419 58 42 134 200 141 
104 313 232 44 393 324 258 | 224 69 220 158 157 108 47 | 266 225 236 130 85 352 25 | 212 132 103 382 284 355 412 | 289 218 223 264 405 165 254 | 237 179 76 241 101 70 91 
385 21 391 113 279 188 272 | 364 60 250 256 0 20 195 | 137 37 361 323 278 84 191 | 217 387 293 418 417 115 263 | 149 249 327 213 311 344 162 | 271 296 139 316 38 96 86 
360 177 203 246 390 161 170 | 138 334 155 53 112 270 180 | 18 248 160 151 307 189 29 | 182 176 259 242 397 320 65 | 66 163 317 396 210 93 367 | 144 410 59 174 202 3 388 
