1220 642 1485 601 796 1338 1063 230 654 1350 | 284 1213 53 828 755 200 141 192 95 450 | 1498 1168 1355 572 844 1276 133 88 1172 1402 | 1106 903 879 954 102 464 536 1475 285 1208 | 384 826 343 1131 1017 571 97 1241 984 274 | 1479 706 415 26 875 215 751 608 484 1423 | 1108 627 477 958 1084 427 1358 474 1281 583 | 596 1300 190 885 234 361 412 1007 101 47 | 160 145 793 19 1392 831 955 936 1247 92 | 884 1360 1175 51 65 1270 592 1400 781 1119 
444 311 387 579 1244 170 119 1239 1192 1042 | 404 829 66 489 784 757 912 1371 126 985 | 1052 1468 318 1082 827 669 747 330 157 1397 | 716 815 1127 1148 883 724 1312 310 1254 895 | 143 431 214 1292 1449 1248 434 208 1419 382 | 874 1054 1376 508 1120 816 926 429 944 156 | 1393 532 541 734 321 1166 930 1117 794 1056 | 554 661 1259 1304 175 843 210 765 582 932 | 151 305 980 308 657 1348 1098 1369 948 972 | 1043 1294 1174 1171 709 41 713 735 275 1463 
854 123 85 513 819 360 738 277 1178 78 | 526 341 1278 621 1396 271 470 1093 242 326 | 783 52 500 1255 896 643 678 289 1394 1390 | 316 1356 788 1487 94 323 1290 195 279 1219 | 1225 673 142 626 502 1344 255 880 659 925 | 785 833 107 533 235 419 136 966 1284 257 | 233 1323 538 1201 110 681 329 109 1140 862 | 602 861 449 1333 273 1401 57 7 1471 1258 | 1050 898 622 1273 442 213 576 1228 996 1186 | 1061 597 805 336 1031 645 811 942 466 505 
1197 1150 344 963 1361 1071 721 406 689 873 | 70 1264 585 789 221 287 640 1490 58 1448 | 1364 849 771 127 246 108 808 1095 523 122 | 1184 1375 128 974 256 93 1367 553 701 1277 | 365 120 994 22 714 332 390 1164 375 1110 | 704 913 1075 253 787 185 698 998 613 467 | 950 232 719 278 38 435 837 684 1319 1318 | 1467 696 856 485 548 662 1111 1025 951 400 | 1320 1224 892 1204 23 907 68 30 1087 194 | 417 454 646 628 189 1414 1040 1101 881 1293 
962 272 292 786 80 594 812 33 468 514 | 254 313 941 791 438 261 364 1424 1236 1488 | 722 1060 712 872 396 1458 1039 906 3 655 | 813 36 356 1121 632 50 855 73 1429 1342 | 649 686 1408 569 1153 282 0 959 729 1143 | 630 1442 1439 1176 1269 1149 1081 519 999 682 | 1317 1389 1382 542 374 91 1146 705 165 940 | 818 28 144 211 1481 388 483 1086 750 1010 | 934 1016 546 420 69 720 1102 1002 155 515 | 368 1203 479 694 276 1070 989 1431 169 459 
543 1096 987 116 1051 148 1019 430 607 1229 | 196 380 1200 416 372 1125 362 1372 1011 1362 | 59 730 737 198 352 803 2 1407 1116 81 | 75 614 817 182 319 178 8 749 1142 927 | 186 524 225 217 728 563 428 402 25 1092 | 83 29 575 1005 1242 77 1088 1308 338 868 | 63 373 146 982 931 1114 392 1303 943 848 | 1024 1465 197 1306 103 623 236 1494 171 100 | 1107 1339 1427 258 44 243 1046 209 407 397 | 76 857 1094 1205 799 1484 1287 1047 227 324 
4 1212 937 1122 132 1456 1240 1147 1459 354 | 433 268 125 1059 957 1499 34 660 153 663 | 1438 112 521 1257 46 463 339 708 1112 181 | 1285 1466 422 1078 260 315 648 1252 294 599 | 1349 259 1037 798 834 616 1198 1235 1322 506 | 1399 349 369 1179 560 249 624 1014 877 1279 | 139 399 1496 1 1432 860 841 1328 902 1450 | 1013 604 1380 1245 423 1447 953 239 1413 298 | 935 1003 1151 703 409 448 482 900 531 441 | 295 933 403 911 527 878 988 593 522 1181 
280 718 1415 475 1157 446 264 61 1455 1301 | 267 740 668 62 1478 647 820 72 1262 866 | 1492 1346 598 1310 495 43 481 766 348 56 | 977 945 327 741 676 498 1373 1253 1048 1263 | 219 1177 106 17 269 1363 1343 814 105 312 | 1036 836 166 1183 45 908 574 1435 1403 606 | 759 124 1207 978 1100 1167 611 949 263 534 | 637 1489 570 347 1368 832 1410 518 301 1189 | 1417 371 1352 715 1337 702 138 393 625 1215 | 1307 413 566 559 437 580 199 1090 333 1132 
503 520 507 687 1295 1103 1026 1214 1139 478 | 150 1077 440 443 617 345 1195 1462 1038 967 | 130 164 965 653 685 983 557 1234 424 40 | 695 241 677 1124 1030 830 6 846 176 174 | 910 48 1191 1366 247 615 1034 1335 1282 638 | 1065 115 1464 1445 674 1329 968 491 1324 436 | 1405 1173 1126 964 850 1074 1162 1260 121 870 | 778 1321 426 852 839 304 1222 1261 1085 1256 | 772 595 270 173 1418 1159 947 1129 1327 651 | 12 679 480 302 134 1452 1104 1299 1058 389 
1286 600 838 577 1250 1311 1345 1385 314 671 | 835 9 418 222 1395 1202 461 1113 782 453 | 764 1180 1446 795 1297 1246 840 1379 358 306 | 357 161 1454 445 776 1216 1266 1340 763 21 | 609 917 335 1440 229 457 1267 1045 488 865 | 1076 859 894 86 283 551 672 564 1486 690 | 869 184 634 251 425 1480 549 421 401 867 | 1152 1274 1118 929 568 899 451 140 670 162 | 544 154 1341 567 1302 286 1383 1387 1053 871 | 797 1365 398 486 1123 1334 752 1033 131 49 
